Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2013",,,,,,,,,,
,,,,,,,,,, release date: 2/9/2016
"SOURCE: 2013 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/econ/susb/methodology.html.",,,,,,,,,,
"For definitions, see http://www.census.gov/econ/susb/definitions.html.",,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,
,,,,,,,,,,
,,,,,,,,,,
21,Kentucky,03:  5-9,"12,143","12,274","80,139",G,"2,305,776",G,,
21,Kentucky,04:  10-19,"7,441","7,855","99,093",G,"3,061,764",G,,
21,Kentucky,05:  <20,"57,804","58,392","245,752",G,"7,451,241",G,,
21,Kentucky,06:  20-99,"6,548","8,803","236,337",G,"8,155,871",G,,
21,Kentucky,07:  100-499,"1,808","5,245","206,451",G,"7,437,636",G,,
21,Kentucky,08:  <500,"66,160","72,440","688,540",G,"23,044,748",G,,
21,Kentucky,09:  500+,"2,414","18,235","818,835",G,"34,496,411",G,,
22,Louisiana,01:  Total,"81,117","104,375","1,687,956",G,"72,069,585",G,,
22,Louisiana,02:  0-4,"43,926","43,975","78,129",G,"3,027,215",G,,
22,Louisiana,03:  5-9,"15,038","15,186","98,865",G,"3,218,185",G,,
22,Louisiana,04:  10-19,"9,159","9,673","122,077",G,"4,171,524",G,,
22,Louisiana,05:  <20,"68,123","68,834","299,071",G,"10,416,924",G,,
22,Louisiana,06:  20-99,"8,675","11,314","328,581",G,"12,093,514",G,,
22,Louisiana,07:  100-499,"2,125","5,855","275,629",G,"11,926,457",G,,
22,Louisiana,08:  <500,"78,923","86,003","903,281",G,"34,436,895",G,,
22,Louisiana,09:  500+,"2,194","18,372","784,675",G,"37,632,690",G,,
23,Maine,01:  Total,"33,237","40,257","487,313",G,"18,739,108",G,,
23,Maine,02:  0-4,"20,671","20,700","31,963",H,"1,159,890",G,,
23,Maine,03:  5-9,"5,258","5,324","34,454",G,"1,080,964",G,,
23,Maine,04:  10-19,"3,103","3,258","41,497",G,"1,316,244",G,,
23,Maine,05:  <20,"29,032","29,282","107,914",G,"3,557,098",G,,
23,Maine,06:  20-99,"2,542","3,598","93,935",G,"3,225,944",G,,
23,Maine,07:  100-499,614,"2,237","77,147",G,"2,949,905",G,,
23,Maine,08:  <500,"32,188","35,117","278,996",G,"9,732,947",G,,
23,Maine,09:  500+,"1,049","5,140","208,317",G,"9,006,161",G,,
24,Maryland,01:  Total,"108,071","135,421","2,182,260",G,"108,758,652",G,,
24,Maryland,02:  0-4,"62,117","62,193","104,879",G,"4,500,044",G,,
24,Maryland,03:  5-9,"18,304","18,449","120,283",G,"4,672,552",G,,
24,Maryland,04:  10-19,"11,470","11,946","152,989",G,"6,251,989",G,,
24,Maryland,05:  <20,"91,891","92,588","378,151",G,"15,424,585",G,,
24,Maryland,06:  20-99,"10,681","13,025","397,424",G,"17,914,532",G,,
24,Maryland,07:  100-499,"2,754","6,657","326,241",G,"16,136,827",G,,
24,Maryland,08:  <500,"105,326","112,270","1,101,816",G,"49,475,944",G,,
24,Maryland,09:  500+,"2,745","23,151","1,080,444",G,"59,282,708",G,,
25,Massachusetts,01:  Total,"139,399","172,534","3,070,703",G,"178,589,899",G,,
25,Massachusetts,02:  0-4,"81,039","81,134","136,904",G,"6,630,658",G,,
25,Massachusetts,03:  5-9,"24,097","24,376","158,347",G,"6,643,418",G,,
25,Massachusetts,04:  10-19,"14,635","15,214","194,963",G,"8,697,072",G,,
25,Massachusetts,05:  <20,"119,771","120,724","490,214",G,"21,971,148",G,,
25,Massachusetts,06:  20-99,"13,093","15,930","485,565",G,"24,791,567",G,,
25,Massachusetts,07:  100-499,"3,421","8,766","447,827",G,"24,870,812",G,,
25,Massachusetts,08:  <500,"136,285","145,420","1,423,606",G,"71,633,527",G,,
25,Massachusetts,09:  500+,"3,114","27,114","1,647,097",G,"106,956,372",G,,
26,Michigan,01:  Total,"172,359","217,494","3,535,685",G,"156,830,488",G,,
26,Michigan,02:  0-4,"99,393","99,494","166,363",G,"6,449,847",G,,
26,Michigan,03:  5-9,"30,986","31,298","204,251",G,"6,820,932",G,,
26,Michigan,04:  10-19,"18,834","19,791","252,227",G,"9,038,902",G,,
26,Michigan,05:  <20,"149,213","150,583","622,841",G,"22,309,681",G,,
26,Michigan,06:  20-99,"16,237","21,433","614,797",G,"24,089,546",G,,
26,Michigan,07:  100-499,"3,766","11,363","537,317",G,"22,915,767",G,,
26,Michigan,08:  <500,"169,216","183,379","1,774,955",G,"69,314,994",G,,
26,Michigan,09:  500+,"3,143","34,115","1,760,730",G,"87,515,494",G,,
27,Minnesota,01:  Total,"117,503","146,354","2,518,268",G,"120,890,874",G,,
27,Minnesota,02:  0-4,"70,194","70,254","107,469",G,"4,369,473",G,,
27,Minnesota,03:  5-9,"18,313","18,504","120,596",G,"4,153,365",G,,
27,Minnesota,04:  10-19,"12,166","12,825","162,486",G,"5,659,824",G,,
27,Minnesota,05:  <20,"100,673","101,583","390,551",G,"14,182,662",G,,
27,Minnesota,06:  20-99,"11,306","14,837","431,760",G,"16,947,194",G,,
27,Minnesota,07:  100-499,"2,854","8,419","384,511",G,"16,340,937",G,,
27,Minnesota,08:  <500,"114,833","124,839","1,206,822",G,"47,470,793",G,,
27,Minnesota,09:  500+,"2,670","21,515","1,311,446",G,"73,420,081",G,,
28,Mississippi,01:  Total,"44,519","58,435","902,638",G,"31,697,424",G,,
28,Mississippi,02:  0-4,"24,470","24,492","44,954",G,"1,372,044",G,,
28,Mississippi,03:  5-9,"8,433","8,529","55,176",G,"1,513,847",G,,
28,Mississippi,04:  10-19,"4,784","5,094","63,019",G,"1,863,841",G,,
28,Mississippi,05:  <20,"37,687","38,115","163,149",G,"4,749,732",G,,
