"          Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2008",,,,,,,,,,
,,,,,,,,,,
"SOURCE: 2008 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,,
,,ENTERPRISE,,,,,ANNUAL,ANNUAL,,
FIPS,,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,,
CODE,AREA DESCRIPTION, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,,
36,New York,3:   5-9,"69,461","70,009","453,783",G,"17,819,013",G,,
36,New York,4:   10-19,"40,235","41,607","536,167",G,"23,000,362",G,,
36,New York,5:   <20,"397,536","399,765","1,464,737",G,"61,047,436",G,,
36,New York,6:   20-99,"34,343","40,965","1,288,267",G,"62,550,525",G,,
36,New York,7:   100-499,"7,781","19,299","1,189,017",G,"60,040,051",G,,
36,New York,8:   <500,"439,660","460,029","3,942,021",G,"183,638,012",G,,
36,New York,9:   500+,"4,332","58,603","3,675,143",G,"256,993,840",G,,
37,North Carolina,1:   Total,"176,196","225,158","3,585,123",G,"132,400,692",G,,
37,North Carolina,2:   0-4,"101,735","101,863","174,244",G,"5,542,493",G,,
37,North Carolina,3:   5-9,"31,431","31,759","206,597",G,"6,006,682",G,,
37,North Carolina,4:   10-19,"19,130","20,086","254,692",G,"7,646,713",G,,
37,North Carolina,5:   <20,"152,296","153,708","635,533",G,"19,195,888",G,,
37,North Carolina,6:   20-99,"16,627","21,622","611,363",G,"19,222,236",G,,
37,North Carolina,7:   100-499,"3,809","11,070","475,662",G,"16,441,286",G,,
37,North Carolina,8:   <500,"172,732","186,400","1,722,558",G,"54,859,410",G,,
37,North Carolina,9:   500+,"3,464","38,758","1,862,565",G,"77,541,282",G,,
38,North Dakota,1:   Total,"17,922","21,558","304,906",G,"10,054,513",G,,
