Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2015",,,,,,,,,,,,, release date: 9/29/2017
,,,,,,,,,,,,,
"SOURCE: 2015 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
19,Iowa,08:  <500,"60,566","67,885","646,525",G,"24,106,702",G,,,,,
19,Iowa,09:  500+,"1,916","13,067","691,893",G,"30,973,041",G,,,,,
20,Kansas,01:  Total,"58,391","74,526","1,189,876",G,"51,259,676",G,,,,,
20,Kansas,02:  0-4,"32,835","32,896","55,269",G,"1,984,725",G,,,,,
20,Kansas,03:  5-9,"9,898","10,003","64,859",G,"2,061,888",G,,,,,
20,Kansas,04:  10-19,"6,197","6,531","82,344",G,"2,905,927",G,,,,,
20,Kansas,05:  <20,"48,930","49,430","202,472",G,"6,952,540",G,,,,,
20,Kansas,06:  20-99,"5,625","7,660","207,752",G,"7,834,555",G,,,,,
20,Kansas,07:  100-499,"1,653","4,557","196,742",G,"8,220,930",G,,,,,
20,Kansas,08:  <500,"56,208","61,647","606,966",G,"23,008,025",G,,,,,
20,Kansas,09:  500+,"2,183","12,879","582,910",G,"28,251,651",G,,,,,
21,Kentucky,01:  Total,"68,816","91,845","1,579,477",G,"63,741,066",G,,,,,
21,Kentucky,02:  0-4,"38,659","38,706","66,446",G,"2,240,975",G,,,,,
21,Kentucky,03:  5-9,"11,919","12,026","78,326",G,"2,405,622",G,,,,,
21,Kentucky,04:  10-19,"7,286","7,677","97,049",G,"3,135,701",G,,,,,
21,Kentucky,05:  <20,"57,864","58,409","241,821",G,"7,782,298",G,,,,,
21,Kentucky,06:  20-99,"6,618","8,854","241,500",G,"8,790,475",G,,,,,
21,Kentucky,07:  100-499,"1,842","5,227","212,862",G,"8,373,470",G,,,,,
