Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2011",,,,,,,, release date:12/2013,
,,,,,,,,,
"SOURCE: 2011 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,
35,New Mexico,9:   500+,"1,553","7,564","270,062",G,"11,252,624",G,
36,New York,1:   Total,"446,405","521,537","7,369,731",G,"435,008,622",G,
36,New York,2:   0-4,"294,765","295,077","478,568",G,"20,360,737",G,
36,New York,3:   5-9,"67,775","68,361","442,025",G,"17,633,789",G,
36,New York,4:   10-19,"39,555","40,897","526,555",G,"22,704,998",G,
36,New York,5:   <20,"402,095","404,335","1,447,148",G,"60,699,524",G,
36,New York,6:   20-99,"32,877","39,273","1,236,108",G,"60,918,133",G,
36,New York,7:   100-499,"7,147","18,365","1,077,295",G,"59,889,896",G,
36,New York,8:   <500,"442,119","461,973","3,760,551",G,"181,507,553",G,
36,New York,9:   500+,"4,286","59,564","3,609,180",G,"253,501,069",G,
37,North Carolina,1:   Total,"165,895","215,113","3,284,592",G,"131,631,342",G,
37,North Carolina,2:   0-4,"98,505","98,690","164,438",G,"5,542,581",G,
37,North Carolina,3:   5-9,"28,363","28,759","186,203",G,"5,633,097",G,
37,North Carolina,4:   10-19,"17,410","18,366","231,742",G,"7,198,438",G,
37,North Carolina,5:   <20,"144,278","145,815","582,383",G,"18,374,116",G,
37,North Carolina,6:   20-99,"14,644","19,525","534,645",G,"17,793,239",G,
37,North Carolina,7:   100-499,"3,499","10,133","414,224",G,"15,627,351",G,
37,North Carolina,8:   <500,"162,421","175,473","1,531,252",G,"51,794,706",G,
37,North Carolina,9:   500+,"3,474","39,640","1,753,340",G,"79,836,636",G,
38,North Dakota,1:   Total,"18,612","22,370","306,064",G,"12,281,089",G,
38,North Dakota,2:   0-4,"10,473","10,482","16,868",G,"633,401",G,
38,North Dakota,3:   5-9,"3,098","3,137","20,107",G,"634,749",G,
38,North Dakota,4:   10-19,"2,014","2,146","26,818",G,"861,829",G,
38,North Dakota,5:   <20,"15,585","15,765","63,793",G,"2,129,979",G,
38,North Dakota,6:   20-99,"1,783","2,482","64,673",G,"2,351,592",G,
38,North Dakota,7:   100-499,478,"1,356","53,848",G,"1,964,151",G,
