Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2009",,,,,,,, release date:11/2011,,
,,,,,,,,,,
"SOURCE: 2009 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,
19,Iowa,4:   10-19,"7,040","7,550","93,368",G,"2,613,581",G,,
19,Iowa,5:   <20,"54,373","55,069","227,517",G,"6,284,805",G,,
19,Iowa,6:   20-99,"5,942","8,754","221,807",G,"6,775,538",G,,
19,Iowa,7:   100-499,"1,651","5,493","215,340",G,"7,161,319",G,,
19,Iowa,8:   <500,"61,966","69,316","664,664",G,"20,221,662",G,,
19,Iowa,9:   500+,"1,754","11,655","619,105",G,"23,610,706",G,,
20,Kansas,1:   Total,"59,667","74,698","1,146,263",G,"42,146,866",G,,
20,Kansas,2:   0-4,"33,719","33,756","58,627",G,"1,756,450",G,,
20,Kansas,3:   5-9,"10,300","10,430","67,373",G,"1,869,355",G,,
20,Kansas,4:   10-19,"6,321","6,685","83,800",G,"2,529,746",G,,
20,Kansas,5:   <20,"50,340","50,871","209,800",G,"6,155,551",G,,
20,Kansas,6:   20-99,"5,731","7,714","207,330",G,"6,885,962",G,,
20,Kansas,7:   100-499,"1,626","4,587","187,483",G,"6,336,107",G,,
20,Kansas,8:   <500,"57,697","63,172","604,613",G,"19,377,620",G,,
20,Kansas,9:   500+,"1,970","11,526","541,650",G,"22,769,246",G,,
21,Kentucky,1:   Total,"69,606","90,661","1,486,545",G,"51,716,876",G,,
21,Kentucky,2:   0-4,"38,070","38,115","68,743",G,"1,992,481",G,,
21,Kentucky,3:   5-9,"12,675","12,825","83,201",G,"2,247,070",G,,
21,Kentucky,4:   10-19,"7,951","8,365","105,716",G,"2,996,670",G,,
21,Kentucky,5:   <20,"58,696","59,305","257,660",G,"7,236,221",G,,
21,Kentucky,6:   20-99,"6,752","9,018","244,766",G,"7,761,811",G,,
21,Kentucky,7:   100-499,"1,852","5,170","211,849",G,"6,859,580",G,,
21,Kentucky,8:   <500,"67,300","73,493","714,275",G,"21,857,612",G,,
21,Kentucky,9:   500+,"2,306","17,168","772,270",G,"29,859,264",G,,
22,Louisiana,1:   Total,"81,541","103,384","1,639,104",G,"61,387,794",G,,
22,Louisiana,2:   0-4,"43,993","44,046","78,794",G,"2,729,555",G,,
22,Louisiana,3:   5-9,"15,345","15,487","101,269",G,"2,991,796",G,,
22,Louisiana,4:   10-19,"9,497","10,001","126,788",G,"3,909,464",G,,
22,Louisiana,5:   <20,"68,835","69,534","306,851",G,"9,630,815",G,,
22,Louisiana,6:   20-99,"8,579","11,158","329,348",G,"10,711,864",G,,
22,Louisiana,7:   100-499,"1,989","5,358","254,674",G,"9,443,740",G,,
22,Louisiana,8:   <500,"79,403","86,050","890,873",G,"29,786,419",G,,
22,Louisiana,9:   500+,"2,138","17,334","748,231",G,"31,601,375",G,,
23,Maine,1:   Total,"33,795","40,616","488,932",G,"17,167,557",G,,
23,Maine,2:   0-4,"21,029","21,071","33,159",H,"1,092,559",G,,
23,Maine,3:   5-9,"5,460","5,523","35,909",G,"1,053,416",G,,
23,Maine,4:   10-19,"3,214","3,394","42,397",G,"1,264,326",G,,
23,Maine,5:   <20,"29,703","29,988","111,465",G,"3,410,301",G,,
23,Maine,6:   20-99,"2,460","3,398","90,097",G,"2,876,470",G,,
23,Maine,7:   100-499,649,"2,281","80,560",G,"2,747,197",G,,
23,Maine,8:   <500,"32,812","35,667","282,122",G,"9,033,968",G,,
23,Maine,9:   500+,983,"4,949","206,810",G,"8,133,589",G,,
24,Maryland,1:   Total,"109,087","135,633","2,122,388",G,"96,620,659",G,,
24,Maryland,2:   0-4,"62,872","62,940","106,825",G,"4,283,847",G,,
24,Maryland,3:   5-9,"18,403","18,603","120,602",G,"4,351,225",G,,
24,Maryland,4:   10-19,"11,916","12,436","158,537",G,"6,028,792",G,,
24,Maryland,5:   <20,"93,191","93,979","385,964",G,"14,663,864",G,,
24,Maryland,6:   20-99,"10,546","12,962","391,937",G,"16,314,170",G,,
24,Maryland,7:   100-499,"2,704","6,273","327,330",G,"14,676,079",G,,
24,Maryland,8:   <500,"106,441","113,214","1,105,231",G,"45,654,113",G,,
24,Maryland,9:   500+,"2,646","22,419","1,017,157",G,"50,966,546",G,,
25,Massachusetts,1:   Total,"138,370","170,473","2,967,877",G,"153,775,380",G,,
25,Massachusetts,2:   0-4,"80,635","80,812","137,336",G,"5,969,162",G,,
25,Massachusetts,3:   5-9,"23,739","23,999","155,560",G,"6,067,177",G,,
25,Massachusetts,4:   10-19,"15,012","15,661","200,400",G,"8,278,490",G,,
25,Massachusetts,5:   <20,"119,386","120,472","493,296",G,"20,314,829",G,,
25,Massachusetts,6:   20-99,"12,615","15,474","469,895",G,"22,090,999",G,,
25,Massachusetts,7:   100-499,"3,403","8,918","439,749",G,"21,434,521",G,,
25,Massachusetts,8:   <500,"135,404","144,864","1,402,940",G,"63,840,349",G,,
25,Massachusetts,9:   500+,"2,966","25,609","1,564,937",G,"89,935,031",G,,
26,Michigan,1:   Total,"176,303","221,682","3,383,615",G,"135,807,633",G,,
26,Michigan,2:   0-4,"102,250","102,436","171,565",G,"6,007,768",G,,
26,Michigan,3:   5-9,"31,406","31,826","206,839",G,"6,340,307",G,,
26,Michigan,4:   10-19,"19,573","20,604","260,364",G,"8,374,691",G,,
26,Michigan,5:   <20,"153,229","154,866","638,768",G,"20,722,766",G,,
26,Michigan,6:   20-99,"16,339","21,698","612,414",G,"21,193,739",G,,
26,Michigan,7:   100-499,"3,716","10,744","517,940",G,"19,160,674",G,,
26,Michigan,8:   <500,"173,284","187,308","1,769,122",G,"61,077,179",G,,
26,Michigan,9:   500+,"3,019","34,374","1,614,493",G,"74,730,454",G,,
27,Minnesota,1:   Total,"118,744","146,453","2,417,174",G,"102,179,234",G,,
27,Minnesota,2:   0-4,"71,129","71,220","109,600",G,"4,008,403",G,,
27,Minnesota,3:   5-9,"18,565","18,773","122,203",G,"3,768,580",G,,
27,Minnesota,4:   10-19,"12,549","13,217","168,201",G,"5,290,818",G,,
27,Minnesota,5:   <20,"102,243","103,210","400,004",G,"13,067,801",G,,
27,Minnesota,6:   20-99,"11,170","14,668","424,144",G,"14,688,794",G,,
27,Minnesota,7:   100-499,"2,797","8,086","381,601",G,"14,756,560",G,,
27,Minnesota,8:   <500,"116,210","125,964","1,205,749",G,"42,513,155",G,,
27,Minnesota,9:   500+,"2,534","20,489","1,211,425",G,"59,666,079",G,,
28,Mississippi,1:   Total,"46,137","59,607","904,037",G,"28,452,219",G,,
28,Mississippi,2:   0-4,"25,439","25,474","46,885",G,"1,270,810",G,,
28,Mississippi,3:   5-9,"8,602","8,693","56,306",G,"1,433,331",G,,
28,Mississippi,4:   10-19,"5,186","5,465","68,458",G,"1,849,847",G,,
28,Mississippi,5:   <20,"39,227","39,632","171,649",G,"4,553,988",G,,
28,Mississippi,6:   20-99,"4,180","5,566","150,435",G,"4,369,928",G,,
28,Mississippi,7:   100-499,"1,111","3,344","124,471",G,"3,795,972",G,,
28,Mississippi,8:   <500,"44,518","48,542","446,555",G,"12,719,888",G,,
28,Mississippi,9:   500+,"1,619","11,065","457,482",G,"15,732,331",G,,
29,Missouri,1:   Total,"118,502","150,892","2,358,706",G,"88,809,106",G,,
29,Missouri,2:   0-4,"70,377","70,494","117,471",G,"3,378,916",G,,
29,Missouri,3:   5-9,"19,264","19,493","126,360",G,"3,652,454",G,,
29,Missouri,4:   10-19,"12,259","12,863","162,530",G,"4,981,884",G,,
29,Missouri,5:   <20,"101,900","102,850","406,361",G,"12,013,254",G,,
29,Missouri,6:   20-99,"11,055","14,736","411,450",G,"13,466,132",G,,
29,Missouri,7:   100-499,"2,733","8,028","317,758",G,"11,299,023",G,,
29,Missouri,8:   <500,"115,688","125,614","1,135,569",G,"36,778,409",G,,
29,Missouri,9:   500+,"2,814","25,278","1,223,137",G,"52,030,697",G,,
30,Montana,1:   Total,"31,670","36,326","341,357",G,"10,654,179",G,,
30,Montana,2:   0-4,"20,187","20,207","31,713",G,"945,518",G,,
30,Montana,3:   5-9,"5,157","5,202","33,908",G,"877,039",G,,
30,Montana,4:   10-19,"2,976","3,163","39,419",G,"1,029,158",G,,
30,Montana,5:   <20,"28,320","28,572","105,040",G,"2,851,715",G,,
30,Montana,6:   20-99,"2,077","2,828","73,326",G,"1,999,105",G,,
30,Montana,7:   100-499,485,"1,431","54,274",G,"1,752,509",G,,
30,Montana,8:   <500,"30,882","32,831","232,640",G,"6,603,329",G,,
30,Montana,9:   500+,788,"3,495","108,717",G,"4,050,850",G,,
31,Nebraska,1:   Total,"41,861","51,633","779,508",G,"27,474,673",G,,
31,Nebraska,2:   0-4,"24,341","24,382","40,987",G,"1,155,805",G,,
31,Nebraska,3:   5-9,"7,029","7,118","45,941",G,"1,227,400",G,,
31,Nebraska,4:   10-19,"4,351","4,619","57,547",G,"1,618,137",G,,
31,Nebraska,5:   <20,"35,721","36,119","144,475",G,"4,001,342",G,,
31,Nebraska,6:   20-99,"3,743","5,204","137,904",G,"4,409,342",G,,
31,Nebraska,7:   100-499,992,"3,113","115,006",G,"3,860,106",G,,
31,Nebraska,8:   <500,"40,456","44,436","397,385",G,"12,270,790",G,,
31,Nebraska,9:   500+,"1,405","7,197","382,123",G,"15,203,883",G,,
32,Nevada,1:   Total,"47,929","59,785","1,042,166",G,"39,137,038",G,,
32,Nevada,2:   0-4,"27,536","27,588","43,018",G,"1,987,859",G,,
32,Nevada,3:   5-9,"7,514","7,604","49,539",G,"1,629,614",G,,
32,Nevada,4:   10-19,"4,900","5,099","64,316",G,"2,084,099",G,,
32,Nevada,5:   <20,"39,950","40,291","156,873",G,"5,701,572",G,,
32,Nevada,6:   20-99,"4,358","5,331","149,438",G,"5,379,442",G,,
32,Nevada,7:   100-499,"1,506","3,196","134,764",G,"4,689,236",G,,
32,Nevada,8:   <500,"45,814","48,818","441,075",G,"15,770,250",G,,
32,Nevada,9:   500+,"2,115","10,967","601,091",G,"23,366,788",G,,
33,New Hampshire,1:   Total,"31,371","37,873","568,043",G,"23,628,247",G,,
33,New Hampshire,2:   0-4,"17,766","17,793","30,436",G,"1,196,026",G,,
33,New Hampshire,3:   5-9,"5,464","5,507","35,889",G,"1,243,099",G,,
33,New Hampshire,4:   10-19,"3,301","3,454","43,675",G,"1,576,520",G,,
33,New Hampshire,5:   <20,"26,531","26,754","110,000",G,"4,015,645",G,,
33,New Hampshire,6:   20-99,"2,887","3,585","100,583",G,"3,904,653",G,,
33,New Hampshire,7:   100-499,766,"1,801","79,195",G,"3,384,680",G,,
33,New Hampshire,8:   <500,"30,184","32,140","289,778",G,"11,304,978",G,,
33,New Hampshire,9:   500+,"1,187","5,733","278,265",G,"12,323,269",G,,
34,New Jersey,1:   Total,"195,445","231,186","3,443,211",G,"177,070,691",G,,
34,New Jersey,2:   0-4,"121,666","121,837","208,575",G,"8,137,990",G,,
34,New Jersey,3:   5-9,"31,796","32,073","207,356",G,"7,928,342",G,,
34,New Jersey,4:   10-19,"18,893","19,529","251,192",G,"10,452,266",G,,
34,New Jersey,5:   <20,"172,355","173,439","667,123",G,"26,518,598",G,,
34,New Jersey,6:   20-99,"16,102","18,760","595,296",G,"26,700,547",G,,
34,New Jersey,7:   100-499,"3,787","7,913","469,369",G,"22,130,205",G,,
34,New Jersey,8:   <500,"192,244","200,112","1,731,788",G,"75,349,350",G,,
34,New Jersey,9:   500+,"3,201","31,074","1,711,423",G,"101,721,341",G,,
35,New Mexico,1:   Total,"36,326","44,986","615,879",G,"21,378,606",G,,
35,New Mexico,2:   0-4,"20,365","20,389","35,265",G,"1,064,281",G,,
35,New Mexico,3:   5-9,"6,218","6,297","41,082",G,"1,161,404",G,,
35,New Mexico,4:   10-19,"3,992","4,158","53,131",G,"1,569,622",G,,
35,New Mexico,5:   <20,"30,575","30,844","129,478",G,"3,795,307",G,,
35,New Mexico,6:   20-99,"3,352","4,289","119,112",G,"3,769,753",G,,
35,New Mexico,7:   100-499,859,"2,367","86,090",G,"2,976,443",G,,
35,New Mexico,8:   <500,"34,786","37,500","334,680",G,"10,541,503",G,,
35,New Mexico,9:   500+,"1,540","7,486","281,199",G,"10,837,103",G,,
36,New York,1:   Total,"441,241","515,819","7,332,392",G,"400,789,941",G,,
36,New York,2:   0-4,"289,137","289,429","472,458",G,"19,266,018",G,,
36,New York,3:   5-9,"67,897","68,468","443,164",G,"17,298,245",G,,
36,New York,4:   10-19,"39,595","40,990","527,275",G,"21,917,203",G,,
36,New York,5:   <20,"396,629","398,887","1,442,897",G,"58,481,466",G,,
36,New York,6:   20-99,"33,026","39,557","1,236,301",G,"59,042,248",G,,
36,New York,7:   100-499,"7,391","18,864","1,114,843",G,"57,541,897",G,,
36,New York,8:   <500,"437,046","457,308","3,794,041",G,"175,065,611",G,,
36,New York,9:   500+,"4,195","58,511","3,538,351",G,"225,724,330",G,,
37,North Carolina,1:   Total,"169,798","218,987","3,353,931",G,"124,323,228",G,,
