"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Enterprise Employment Size for the United States and States, Totals:  2007",,,,,,,,,,,
,,,,,,,,,,,
"SOURCE: 2007 County Business Patterns and 2007 Economic Census.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,
,ENTERPRISE,,,,,ANNUAL,ANNUAL,,,,
,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,RECEIPTS,RECEIPTS,,
AREA, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,"($1,000)",NOISE FLAG,,
,7:   100-499,"6,183","15,112","782,792",G,"33,439,157",G,"178,935,209",G,,
,8:   <500,"259,870","276,991","2,614,604",G,"105,144,116",G,"541,246,045",G,,
,9:   500+,"4,419","48,215","2,784,030",G,"138,124,811",G,"924,372,293",G,,
Indiana,1:   Total,"118,218","152,858","2,648,219",G,"94,807,149",G,"623,293,704",G,,
,2:   0-4,"64,866","64,935","112,133",G,"3,429,792",G,"20,824,756",G,,
,3:   5-9,"21,698","21,938","142,724",G,"3,858,584",G,"19,157,922",G,,
,4:   10-19,"13,690","14,412","182,748",G,"5,216,978",G,"24,378,082",G,,
,5:   <20,"100,254","101,285","437,605",G,"12,505,354",G,"64,360,760",G,,
,6:   20-99,"11,972","15,978","444,737",G,"14,129,512",G,"74,419,835",G,,
,7:   100-499,"3,058","8,890","395,402",G,"13,971,758",G,"80,970,291",G,,
,8:   <500,"115,284","126,153","1,277,744",G,"40,606,624",G,"219,750,886",G,,
,9:   500+,"2,934","26,705","1,370,475",G,"54,200,525",G,"403,542,818",G,,
Iowa,1:   Total,"65,859","83,158","1,303,436",G,"43,417,218",G,"318,224,005",G,,
,2:   0-4,"37,476","37,512","62,845",G,"1,783,513",G,"11,286,450",G,,
,3:   5-9,"11,814","11,946","77,477",G,"1,931,890",G,"11,169,638",G,,
,4:   10-19,"7,122","7,687","94,458",G,"2,587,542",G,"14,501,896",G,,
,5:   <20,"56,412","57,145","234,780",G,"6,302,945",G,"36,957,984",G,,
,6:   20-99,"6,113","9,103","229,263",G,"6,930,661",G,"41,850,550",G,,
,7:   100-499,"1,598","5,338","204,460",G,"6,767,314",G,"43,682,031",G,,
,8:   <500,"64,123","71,586","668,503",G,"20,000,920",G,"122,490,565",G,,
,9:   500+,"1,736","11,572","634,933",G,"23,416,298",G,"195,733,440",G,,
Kansas,1:   Total,"62,092","77,157","1,169,099",G,"42,022,753",G,"296,868,979",G,,
,2:   0-4,"35,317","35,343","60,497",H,"2,000,662",G,"12,283,324",G,,
,3:   5-9,"10,775","10,906","70,380",G,"1,887,165",G,"10,649,964",G,,
,4:   10-19,"6,552","6,990","87,094",G,"2,582,319",G,"13,756,038",G,,
,5:   <20,"52,644","53,239","217,971",G,"6,470,146",G,"36,689,326",G,,
,6:   20-99,"5,886","8,131","214,699",G,"6,898,630",G,"38,165,379",G,,
,7:   100-499,"1,617","4,392","191,314",G,"6,459,447",G,"40,986,932",G,,
,8:   <500,"60,147","65,762","623,984",G,"19,828,223",G,"115,841,637",G,,
,9:   500+,"1,945","11,395","545,115",G,"22,194,530",G,"181,027,342",G,,
Kentucky,1:   Total,"72,848","93,539","1,550,192",G,"52,397,804",G,"394,374,626",G,,
,2:   0-4,"39,407","39,442","69,804",G,"1,998,752",G,"12,703,695",G,,
,3:   5-9,"13,468","13,583","88,611",G,"2,284,389",G,"12,640,581",G,,
,4:   10-19,"8,453","8,872","112,152",G,"3,030,705",G,"19,420,550",G,,
,5:   <20,"61,328","61,897","270,567",G,"7,313,846",G,"44,764,826",G,,
,6:   20-99,"7,313","9,808","266,855",G,"8,179,099",G,"43,803,431",G,,
,7:   100-499,"1,921","5,171","225,134",G,"7,126,028",G,"40,679,431",G,,
,8:   <500,"70,562","76,876","762,556",G,"22,618,973",G,"129,247,688",G,,
,9:   500+,"2,286","16,663","787,636",G,"29,778,831",G,"265,126,938",G,,
Louisiana,1:   Total,"83,159","104,622","1,646,151",G,"59,189,702",G,"528,435,242",G,,
,2:   0-4,"45,199","45,257","78,964",G,"2,754,127",G,"16,601,499",G,,
,3:   5-9,"15,552","15,701","102,536",G,"2,908,318",G,"15,670,280",G,,
,4:   10-19,"9,606","10,117","128,332",G,"3,812,360",G,"19,487,570",G,,
,5:   <20,"70,357","71,075","309,832",G,"9,474,805",G,"51,759,349",G,,
,6:   20-99,"8,713","11,546","332,571",G,"10,542,694",G,"53,836,798",G,,
,7:   100-499,"1,994","5,204","255,967",G,"9,135,008",G,"60,394,478",G,,
,8:   <500,"81,064","87,825","898,370",G,"29,152,507",G,"165,990,625",G,,
,9:   500+,"2,095","16,797","747,781",G,"30,037,195",G,"362,444,617",H,,
